;country_i;country_j;dist;pop_i_mean;pop_j_mean;gni_i_mean;gni_j_mean;country_flow;dist_pop
252;ABW;ZWE;11592;96816,8;12447193,6;24230;288;0;11592
253;AFG;ABW;13256;25913988,4;96816,8;415;24230;0;13256
254;AFG;AFG;304;25913988,4;25913988,4;415;415;0;304
255;AFG;AGO;7593;25913988,4;20944435,8;415;2368;0;7593
256;AFG;AIA;12295;25913988,4;NA;415;NA;NA;12295
257;AFG;ALB;4345;25913988,4;2969776,8;415;3490;0;4345
258;AFG;AND;5810;25913988,4;77624,4;415;NA;NA;5810
259;AFG;ANT.1;;25913988,4;NA;415;NA;NA;NA
260;AFG;ANT.2;13218;25913988,4;NA;415;NA;NA;13218
261;AFG;ARE;1684;25913988,4;6006780;415;39906;2094;1684
262;AFG;ARG;15271;25913988,4;39876314;415;6314;0;15271
263;AFG;ARM;2265;25913988,4;3005168,4;415;2584;0;2265
264;AFG;ASM;13651;25913988,4;56346,2;415;NA;NA;13651
265;AFG;ATG;12303;25913988,4;82113;415;14372;NA;12303
266;AFG;AUS;11415;25913988,4;20879256,8;415;37848;8885;11415
267;AFG;AUT;4571;25913988,4;8291355,2;415;44634;2175;4571
268;AFG;AZE;1821;25913988,4;8633668,6;415;2930;35;1821
269;AFG;BDI;5912;25913988,4;7995829,6;415;164;0;5912
270;AFG;BEL;5420;25913988,4;10631748,2;415;42802;1068;5420
271;AFG;BEN;7487;25913988,4;8655758,8;415;924;0;7487
272;AFG;BES;13169;25913988,4;NA;415;NA;NA;13169
273;AFG;BFA;7482;25913988,4;14759476;415;508;0;7482
274;AFG;BGD;2382;25913988,4;143961096,6;415;618;0;2382
275;AFG;BGR;4043;25913988,4;7548467,2;415;5134;136;4043
276;AFG;BHR;2006;25913988,4;1040646;415;18680;280;2006
277;AFG;BHS;12528;25913988,4;357797,2;415;28712;0;12528
278;AFG;BIH;4438;25913988,4;3996280,2;415;3790;0;4438
279;AFG;BLR;3878;25913988,4;9572472;415;4354;133;3878
280;AFG;BLZ;13820;25913988,4;297223,8;415;5134;0;13820
281;AFG;BMU;11186;25913988,4;64894,8;415;NA;NA;11186
282;AFG;BOL;15338;25913988,4;9712622,6;415;1270;1;15338
283;AFG;BRA;13759;25913988,4;190717467;415;6174;26;13759
284;AFG;BRB;12467;25913988,4;271554,4;415;15374;0;12467
285;AFG;BRN;5734;25913988,4;378630,4;415;29324;0;5734
286;AFG;BTN;2101;25913988,4;681122,4;415;1516;0;2101
287;AFG;BWA;7986;25913988,4;1968961;415;5092;0;7986
288;AFG;CAF;6186;25913988,4;4382105,6;415;378;0;6186
289;AFG;CAN;10777;25913988,4;32915993;415;40382;12270;10777
290;AFG;CCK;5939;25913988,4;NA;415;NA;NA;5939
291;AFG;CHE;5165;25913988,4;7572734,4;415;65770;1247;5165
292;AFG;CHL;16337;25913988,4;16500066,6;415;8508;3;16337
293;AFG;CHN;4852;25913988,4;1317708000;415;2622;0;4852
294;AFG;CIV;8139;25913988,4;19820836,6;415;988;0;8139
295;AFG;CMR;6981;25913988,4;18274945;415;1268;0;6981
296;AFG;COD;7087;25913988,4;60348251;415;248;0;7087
297;AFG;COG;7085;25913988,4;3957864,6;415;1774;0;7085
298;AFG;COK;15040;25913988,4;NA;415;NA;NA;15040
299;AFG;COL;14220;25913988,4;43285932,4;415;4140;36;14220
300;AFG;COM;5803;25913988,4;617240,6;415;1258;0;5803
301;AFG;CPV;9326;25913988,4;504483,6;415;2758;0;9326
302;AFG;CRI;14339;25913988,4;4439825,2;415;5618;1;14339
303;AFG;CSK;;25913988,4;NA;415;NA;NA;NA
304;AFG;CUB;12956;25913988,4;11267285;415;4650;0;12956
305;AFG;CUW;13218;25913988,4;143133,2;415;NA;NA;13218
306;AFG;CXR;6291;25913988,4;NA;415;NA;NA;6291
307;AFG;CYM;13288;25913988,4;49655,2;415;NA;NA;13288
308;AFG;CYP;3258;25913988,4;1073947,4;415;28336;3;3258
309;AFG;CZE;4712;25913988,4;10315497,6;415;15936;326;4712
310;AFG;DDR;;25913988,4;NA;415;NA;NA;NA
311;AFG;DEU.1;;25913988,4;NA;415;NA;NA;NA
312;AFG;DEU.2;4787;25913988,4;NA;415;NA;NA;4787
313;AFG;DJI;3661;25913988,4;865398,6;415;NA;0;3661
314;AFG;DMA;12420;25913988,4;68752;415;6002;NA;12420
315;AFG;DNK;4861;25913988,4;5466971,6;415;55874;4478;4861
316;AFG;DOM;12721;25913988,4;9404430,2;415;4130;1;12721
317;AFG;DZA;5871;25913988,4;34028245,2;415;3602;2;5871
318;AFG;ECU;15209;25913988,4;14254094,2;415;3448;33;15209
319;AFG;EGY;3587;25913988,4;82253916,4;415;1528;34;3587
320;AFG;ERI;3697;25913988,4;2945532;415;428;0;3697
321;AFG;ESH;7704;25913988,4;NA;415;NA;0;7704
322;AFG;ESP;6295;25913988,4;45118865,8;415;29668;0;6295
323;AFG;EST;4239;25913988,4;1342774;415;12884;3;4239
324;AFG;ETH.1;;25913988,4;NA;415;NA;NA;NA
325;AFG;ETH.2;4195;25913988,4;NA;415;NA;NA;4195
326;AFG;FIN;4259;25913988,4;5290670,8;415;45674;1379;4259
327;AFG;FJI;12875;25913988,4;889353,6;415;3538;0;12875
328;AFG;FLK;15425;25913988,4;NA;415;NA;NA;15425
329;AFG;FRA;5594;25913988,4;63985793,6;415;40314;1091;5594
330;AFG;FRO;5965;25913988,4;48361;415;NA;NA;5965
331;AFG;FSM;9489;25913988,4;109469;415;2504;0;9489
332;AFG;GAB;7250;25913988,4;1552836,2;415;6230;0;7250
333;AFG;GBR;5720;25913988,4;61330750,8;415;45482;13444;5720
334;AFG;GEO;2268;25913988,4;3861168,4;415;2316;9;2268
335;AFG;GHA;7776;25913988,4;23716141,2;415;812;0;7776
336;AFG;GIB;6599;25913988,4;29991;415;NA;NA;6599
337;AFG;GIN;8761;25913988,4;9563785,8;415;502;0;8761
338;AFG;GLP;12387;25913988,4;NA;415;NA;0;12387
339;AFG;GMB;8802;25913988,4;1767041,2;415;658;0;8802
340;AFG;GNB;8800;25913988,4;1452000,6;415;470;0;8800
341;AFG;GNQ;7122;25913988,4;951523;415;8718;0;7122
342;AFG;GRC;4060;25913988,4;11048201,4;415;27267,5;62;4060
343;AFG;GRD;12710;25913988,4;111738,8;415;6380;0;12710
344;AFG;GRL;7911;25913988,4;56583;415;31986,66667;NA;7911
345;AFG;GTM;14161;25913988,4;13475625,6;415;2356;0;14161
346;AFG;GUF;12505;25913988,4;NA;415;NA;0;12505
347;AFG;GUM;7863;25913988,4;164634,6;415;NA;0;7863
348;AFG;GUY;12845;25913988,4;756001;415;2550;0;12845
349;AFG;HKG;4574;25913988,4;6903440;415;31510;0;4574
350;AFG;HND;14077;25913988,4;7922670,8;415;1468;0;14077
351;AFG;HRV;4610;25913988,4;4309281,4;415;12376;0;4610
352;AFG;HTI;12866;25913988,4;9420979,8;415;914;0;12866
353;AFG;HUN;4371;25913988,4;10055010,6;415;12010;316;4371
354;AFG;IDN.1;;25913988,4;NA;415;NA;NA;NA
355;AFG;IDN.2;5999;25913988,4;NA;415;NA;NA;5999
356;AFG;IND;1002;25913988,4;1189415855;415;898;0;1002
357;AFG;IOT;4635;25913988,4;NA;415;NA;NA;4635
358;AFG;IRL;6091;25913988,4;4371473,2;415;48176;44;6091
359;AFG;IRN;1621;25913988,4;72283770,2;415;4190;266595;1621
360;AFG;IRQ;2288;25913988,4;29154519,8;415;2564;18;2288
361;AFG;ISL;6662;25913988,4;309599;415;51554;3;6662
362;AFG;ISR;3199;25913988,4;7191660;415;24970;810;3199
363;AFG;ITA;4941;25913988,4;58494773,8;415;35732;1782;4941
